# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
16

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Canard,0,FXPTRHLMCG,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
-3.894851081205989995e-01, 3.999999999999999112e+00, -1.119430323995525833e-01, 1.399999999999999911e+00, 7.836633902842906618e-01
-6.834999269671816480e-01, 3.999999999999999112e+00, -1.324480351654522547e-01, 1.399999999999999911e+00, 1.000000000000000000e+00
-9.779234238852800853e-01, 3.999999999999999112e+00, -1.458352050317689719e-01, 1.399999999999999911e+00, 1.216336609715709338e+00
-1.249690594530502130e+00, 3.999999999999999112e+00, -1.491743068602177369e-01, 1.399999999999999911e+00, 1.415838762408753171e+00
-1.482108564328844746e+00, 3.999999999999999112e+00, -1.418863199460380642e-01, 1.399999999999999911e+00, 1.586533649582798411e+00
-1.667913444805519507e+00, 3.999999999999999112e+00, -1.255989131001400416e-01, 1.399999999999999911e+00, 1.723464124463156111e+00
-1.808072356624597088e+00, 3.999999999999999112e+00, -1.027861324866503751e-01, 1.399999999999999911e+00, 1.827739635619072267e+00
-1.908165705836331716e+00, 3.999999999999999112e+00, -7.515580727041590303e-02, 1.399999999999999911e+00, 1.904044169930654951e+00
-1.973776114904988388e+00, 3.999999999999999112e+00, -4.198507610363687997e-02, 1.399999999999999911e+00, 1.958266880232111484e+00
-2.000000000000000000e+00, 3.999999999999999112e+00, 0.000000000000000000e+00, 1.399999999999999911e+00, 2.000000000000000000e+00
-1.973776114904989054e+00, 3.999999999999999112e+00, 4.198507610363669956e-02, 1.399999999999999911e+00, 2.041733119767888294e+00
-1.908165705836331494e+00, 3.999999999999999112e+00, 7.515580727041615283e-02, 1.399999999999999911e+00, 2.095955830069344827e+00
-1.808072356624596200e+00, 3.999999999999999112e+00, 1.027861324866506387e-01, 1.399999999999999911e+00, 2.172260364380927733e+00
-1.667913444805518397e+00, 3.999999999999999112e+00, 1.255989131001401526e-01, 1.399999999999999911e+00, 2.276535875536843889e+00
-1.482108564328843414e+00, 3.999999999999999112e+00, 1.418863199460381752e-01, 1.399999999999999911e+00, 2.413466350417201589e+00
-1.249690594530500798e+00, 3.999999999999999112e+00, 1.491743068602177369e-01, 1.399999999999999911e+00, 2.584161237591246607e+00
-9.779234238852791972e-01, 3.999999999999999112e+00, 1.458352050317689164e-01, 1.399999999999999911e+00, 2.783663390284290440e+00
-6.834999269671810929e-01, 3.999999999999999112e+00, 1.324480351654521992e-01, 1.399999999999999911e+00, 3.000000000000000000e+00
-3.894851081205985555e-01, 3.999999999999999112e+00, 1.119430323995525833e-01, 1.399999999999999911e+00, 3.216336609715709116e+00
